Date,Open,High,Low,Close,Adj Close,Volume
2015-04-16,22.500000,22.690001,22.330000,22.490000,21.752443,3882100
2015-04-17,22.020000,22.420000,22.010000,22.200001,21.471954,7340900
2015-04-20,22.299999,22.440001,22.049999,22.090000,21.365564,5790600
2015-04-21,22.360001,22.360001,21.950001,22.059999,21.336546,5761400
2015-04-22,22.190001,22.340000,21.850000,22.309999,21.578348,5185500
2015-04-23,21.900000,22.430000,21.650000,22.219999,21.491299,6484500
2015-04-24,22.209999,22.219999,21.780001,22.030001,21.307531,6024000
2015-04-27,22.100000,22.590000,21.910000,22.200001,21.471954,6211400
2015-04-28,22.160000,22.389999,21.950001,22.309999,21.578348,5862100
2015-04-29,22.150000,22.370001,22.049999,22.139999,21.413921,4878900
2015-04-30,22.030001,22.309999,21.980000,22.200001,21.471954,5471100
2015-05-01,22.379999,22.820000,22.280001,22.750000,22.003914,6424200
2015-05-04,22.730000,22.879999,22.540001,22.610001,21.868509,5018000
2015-05-05,22.530001,22.559999,21.930000,22.030001,21.307531,7323200
2015-05-06,22.150000,22.360001,21.809999,22.100000,21.375238,7912100
2015-05-07,22.010000,22.559999,21.940001,22.490000,21.752443,13364100
2015-05-08,21.010000,21.840000,20.490000,20.830000,20.146883,28663800
2015-05-11,20.540001,20.840000,20.379999,20.629999,19.953440,13603600
2015-05-12,20.480000,21.000000,20.469999,20.830000,20.146883,9720000
2015-05-13,20.980000,21.139999,20.750000,20.950001,20.262949,7713100
2015-05-14,21.010000,21.400000,20.959999,21.290001,20.591799,7326300
2015-05-15,21.379999,21.480000,21.170000,21.299999,20.601469,5395600
2015-05-18,21.250000,21.400000,21.150000,21.270000,20.572454,8124300
2015-05-19,21.200001,21.270000,21.000000,21.040001,20.444193,6345200
2015-05-20,21.049999,21.299999,21.020000,21.040001,20.444193,4920600
2015-05-21,21.049999,21.139999,20.870001,20.889999,20.298439,5992300
2015-05-22,20.940001,21.020000,20.809999,20.860001,20.269289,5314800
